1.700000000000000000e+01,2.620000000000000000e+03,1.449180698394775391e+01,6.210888365870871272e-03,1.052279955720710272e-02
1.800000000000000000e+01,2.420000000000000000e+03,1.344141077995300293e+01,6.373773209251674260e-03,1.093357173525542209e-02
-2.000000000000000000e+00,3.617000000000000000e+03,1.968404865264892578e+01,5.562406697917262818e-03,9.143123633912793313e-03
8.000000000000000000e+00,2.985000000000000000e+03,1.644418621063232422e+01,6.204593398647124426e-03,9.640710331640222480e-03
1.500000000000000000e+01,2.952000000000000000e+03,1.617823719978332520e+01,5.837591091705084979e-03,9.112362651727597823e-03
1.400000000000000000e+01,3.125000000000000000e+03,1.732100415229797363e+01,6.022873957662970394e-03,9.604258765143286469e-03
1.400000000000000000e+01,2.561000000000000000e+03,1.417040562629699707e+01,6.002740638427073692e-03,1.036437202566712831e-02
9.000000000000000000e+00,3.353000000000000000e+03,2.023146510124206543e+01,5.417836725106741670e-03,8.360260860781917533e-03
1.700000000000000000e+01,2.729000000000000000e+03,1.661556410789489746e+01,9.049544441966348579e-03,1.085161211493018349e-02
1.600000000000000000e+01,2.848000000000000000e+03,1.697138690948486328e+01,7.883199613188172569e-03,1.119584954979232876e-02
-1.000000000000000000e+00,3.768000000000000000e+03,2.252299928665161133e+01,6.408108601796883193e-03,9.549698349248418941e-03
1.200000000000000000e+01,2.928000000000000000e+03,1.729339456558227539e+01,7.781562226687578111e-03,1.259765542227739808e-02
2.100000000000000000e+01,2.460000000000000000e+03,1.440118503570556641e+01,6.153696128426335704e-03,1.027073603416308462e-02
8.000000000000000000e+00,3.277000000000000000e+03,1.898825120925903320e+01,6.846149752199577089e-03,1.147701978143330845e-02
1.200000000000000000e+01,2.961000000000000000e+03,1.745485782623291016e+01,7.091747767691913319e-03,1.232343469889649566e-02
5.000000000000000000e+00,3.556000000000000000e+03,2.112735819816589355e+01,6.297930918362959658e-03,1.098278007178140475e-02
-7.000000000000000000e+00,2.961000000000000000e+03,1.706373643875122070e+01,6.737879567714521664e-03,1.226461831310376831e-02
-1.000000000000000000e+00,3.464000000000000000e+03,2.036146926879882812e+01,6.714812966507671330e-03,1.222497802947608916e-02
-1.000000000000000000e+01,2.620000000000000000e+03,1.494515204429626465e+01,6.487105190614452996e-03,1.137541853903202040e-02
1.300000000000000000e+01,2.948000000000000000e+03,1.669796109199523926e+01,5.769298674912277068e-03,1.095833911717081915e-02
9.000000000000000000e+00,3.180000000000000000e+03,1.803765749931335449e+01,6.489523255761345776e-03,1.192961947575126025e-02
1.000000000000000000e+01,3.044000000000000000e+03,1.700384211540222168e+01,8.755387871678736028e-03,1.023593000668814729e-02
8.000000000000000000e+00,3.229000000000000000e+03,1.808116197586059570e+01,8.001348081934474971e-03,1.155282034957763083e-02
4.000000000000000000e+00,3.533000000000000000e+03,2.077616095542907715e+01,7.320957469875628322e-03,1.180445894448747986e-02
-3.000000000000000000e+00,3.329000000000000000e+03,1.947057080268859863e+01,6.440136943473643780e-03,1.137717795402069625e-02
2.000000000000000000e+00,3.781000000000000000e+03,2.234624266624450684e+01,7.544277969084387664e-03,1.235652786262426799e-02
5.000000000000000000e+00,3.312000000000000000e+03,1.950847578048706055e+01,7.388107503695951796e-03,1.259324968019262005e-02
-2.000000000000000000e+00,3.564000000000000000e+03,2.057602787017822266e+01,6.016497672698224372e-03,9.535508396984145041e-03
9.000000000000000000e+00,3.356000000000000000e+03,2.097155737876892090e+01,6.558668688511263764e-03,1.155004621960704220e-02
-3.000000000000000000e+00,3.341000000000000000e+03,1.964217376708984375e+01,6.170314032295629372e-03,1.029761690214188105e-02
-1.000000000000000000e+00,3.749000000000000000e+03,2.164688086509704590e+01,6.484751823797973817e-03,1.166187626116593420e-02
1.300000000000000000e+01,2.969000000000000000e+03,1.715910696983337402e+01,6.298430695394444979e-03,1.179030516235147867e-02
-2.000000000000000000e+00,3.285000000000000000e+03,1.911171746253967285e+01,6.360886286967491060e-03,1.048261372128087530e-02
6.000000000000000000e+00,3.421000000000000000e+03,2.004099011421203613e+01,1.009155156764752689e-02,1.331493480978413434e-02
7.000000000000000000e+00,3.028000000000000000e+03,1.720921516418457031e+01,8.229792704168771567e-03,1.202525766562391636e-02
8.000000000000000000e+00,3.384000000000000000e+03,1.953650879859924316e+01,7.081279914241036394e-03,1.167003654878511279e-02
1.000000000000000000e+00,3.928000000000000000e+03,2.289074707031250000e+01,7.029777013561983208e-03,1.204632017689320420e-02
8.000000000000000000e+00,3.180000000000000000e+03,1.860731744766235352e+01,6.060355011045264438e-03,9.807261144984405835e-03
1.500000000000000000e+01,2.817000000000000000e+03,1.637005138397216797e+01,7.089911482696117408e-03,1.266667976883110829e-02
-3.000000000000000000e+00,3.188000000000000000e+03,1.897946357727050781e+01,6.999413065995767347e-03,1.188639774976702618e-02
1.400000000000000000e+01,3.052000000000000000e+03,1.759720230102539062e+01,6.771280613009435928e-03,1.195640380093862878e-02
1.200000000000000000e+01,2.829000000000000000e+03,1.621247148513793945e+01,7.367043647139904367e-03,1.347909268852130749e-02
1.300000000000000000e+01,2.640000000000000000e+03,1.603519630432128906e+01,6.108524752340688604e-03,1.029096349610765168e-02
1.500000000000000000e+01,2.936000000000000000e+03,1.678120923042297363e+01,5.888295500325549207e-03,9.997676959293010091e-03
1.500000000000000000e+01,3.081000000000000000e+03,1.816219329833984375e+01,6.009545066573619698e-03,1.091591734543142025e-02
1.600000000000000000e+01,2.900000000000000000e+03,1.714210176467895508e+01,6.192880798013036293e-03,1.113481705113387489e-02
-2.000000000000000000e+00,3.053000000000000000e+03,1.785621261596679688e+01,9.727976931179382891e-03,1.212900514602928415e-02
6.000000000000000000e+00,3.480000000000000000e+03,2.023274612426757812e+01,7.978711061488286127e-03,1.139186163700767022e-02
1.300000000000000000e+01,3.024000000000000000e+03,1.777642941474914551e+01,6.870694349345285445e-03,1.081318897056012321e-02
7.000000000000000000e+00,3.112000000000000000e+03,1.823208045959472656e+01,6.436181796377149142e-03,9.763889525723733198e-03
-5.000000000000000000e+00,3.592000000000000000e+03,2.085209870338439941e+01,6.282058674219674968e-03,1.013761227937437677e-02
-1.000000000000000000e+00,3.349000000000000000e+03,1.931964159011840820e+01,7.084784479599615450e-03,1.141422414043600370e-02
5.000000000000000000e+00,3.316000000000000000e+03,1.881704449653625488e+01,7.097900889348239019e-03,1.208233825759642832e-02
1.200000000000000000e+01,3.036000000000000000e+03,1.711970186233520508e+01,6.542368892145447590e-03,1.073090146613562591e-02
9.000000000000000000e+00,3.053000000000000000e+03,1.764012598991394043e+01,7.436677785574973172e-03,1.270994798079964558e-02
1.800000000000000000e+01,2.680000000000000000e+03,1.557328271865844727e+01,6.470991311491363675e-03,9.696959717473528292e-03
1.200000000000000000e+01,3.080000000000000000e+03,1.775309395790100098e+01,6.527316691575805324e-03,1.118610039477128254e-02
9.000000000000000000e+00,2.952000000000000000e+03,1.665974521636962891e+01,7.069342950966756890e-03,1.203492546001606878e-02
1.000000000000000000e+01,3.432000000000000000e+03,2.048318552970886230e+01,7.587863255350248137e-03,1.108220689847638774e-02
-5.000000000000000000e+00,2.921000000000000000e+03,1.664993214607238770e+01,8.663126910259073138e-03,1.052848148959209008e-02
1.300000000000000000e+01,3.057000000000000000e+03,1.772167301177978516e+01,7.493084981920057966e-03,1.020332778553286607e-02
9.000000000000000000e+00,3.073000000000000000e+03,1.792158055305480957e+01,7.615186872943821746e-03,1.174634885365556311e-02
9.000000000000000000e+00,3.180000000000000000e+03,1.904180574417114258e+01,7.274908154561771437e-03,1.141346820338114305e-02
1.500000000000000000e+01,2.745000000000000000e+03,1.531912183761596680e+01,6.822825580004242794e-03,1.078418123326579936e-02
2.000000000000000000e+00,3.281000000000000000e+03,1.888302445411682129e+01,6.526288446472134318e-03,1.134383677193033339e-02
4.000000000000000000e+00,3.601000000000000000e+03,2.182872366905212402e+01,7.404204286165626953e-03,1.211673645381759236e-02
6.000000000000000000e+00,3.064000000000000000e+03,1.800836682319641113e+01,6.868569489053311453e-03,1.174152176791259591e-02
6.000000000000000000e+00,3.380000000000000000e+03,1.973857688903808594e+01,6.901742893314890583e-03,1.140746366024800867e-02
-6.000000000000000000e+00,2.713000000000000000e+03,1.586128425598144531e+01,8.139522582620245181e-03,1.311077495393812332e-02
2.000000000000000000e+01,2.484000000000000000e+03,1.462120652198791504e+01,6.810032670134059940e-03,1.142282487806255652e-02
3.000000000000000000e+00,3.352000000000000000e+03,1.964038133621215820e+01,6.646215950925577452e-03,1.146726120416347548e-02
1.600000000000000000e+01,2.664000000000000000e+03,1.691976137161254883e+02,1.098999005511650667e-02,1.266495087787535348e-02
1.500000000000000000e+01,2.617000000000000000e+03,1.520137333869934082e+01,8.504466136514041846e-03,1.219746097467839727e-02
1.300000000000000000e+01,2.937000000000000000e+03,1.725359201431274414e+01,7.227752623995498116e-03,1.050762084396834710e-02
1.600000000000000000e+01,2.616000000000000000e+03,1.551885461807250977e+01,6.951833699758235875e-03,1.070400530780993634e-02
1.300000000000000000e+01,2.997000000000000000e+03,1.744730901718139648e+01,7.128475143245843575e-03,1.122172004992056348e-02
1.200000000000000000e+01,2.944000000000000000e+03,1.656081700325012207e+01,7.616947666179551407e-03,1.204720466218053669e-02
8.000000000000000000e+00,3.268000000000000000e+03,1.896558904647827148e+01,7.092858614001381484e-03,1.176092062667288655e-02
-7.000000000000000000e+00,2.817000000000000000e+03,1.666884255409240723e+01,6.806246068686666768e-03,1.088524297824474026e-02
